periodo,ano,mes,capital,estado,regiao,cod_bcb,variacao_mensal_pct
202409,2024,9,Brasil,BR,Nacional,433,0.44
202410,2024,10,Brasil,BR,Nacional,433,0.56
202411,2024,11,Brasil,BR,Nacional,433,0.39
202412,2024,12,Brasil,BR,Nacional,433,0.52
201501,2015,1,Curitiba,PR,Sul,10841,1.52
201502,2015,2,Curitiba,PR,Sul,10841,0.97
201503,2015,3,Curitiba,PR,Sul,10841,1.03
201504,2015,4,Curitiba,PR,Sul,10841,0.71
201505,2015,5,Curitiba,PR,Sul,10841,1.26
201506,2015,6,Curitiba,PR,Sul,10841,0.69
201507,2015,7,Curitiba,PR,Sul,10841,0.5
201508,2015,8,Curitiba,PR,Sul,10841,-0.03
201509,2015,9,Curitiba,PR,Sul,10841,0.06
201510,2015,10,Curitiba,PR,Sul,10841,1.0
201511,2015,11,Curitiba,PR,Sul,10841,2.3
201512,2015,12,Curitiba,PR,Sul,10841,1.66
201601,2016,1,Curitiba,PR,Sul,10841,2.48
201602,2016,2,Curitiba,PR,Sul,10841,1.44
201603,2016,3,Curitiba,PR,Sul,10841,1.51
201604,2016,4,Curitiba,PR,Sul,10841,0.71
201605,2016,5,Curitiba,PR,Sul,10841,0.81
201606,2016,6,Curitiba,PR,Sul,10841,0.68
201607,2016,7,Curitiba,PR,Sul,10841,1.33
201608,2016,8,Curitiba,PR,Sul,10841,0.39
201609,2016,9,Curitiba,PR,Sul,10841,-0.47
201610,2016,10,Curitiba,PR,Sul,10841,-0.14
201611,2016,11,Curitiba,PR,Sul,10841,-0.06
201612,2016,12,Curitiba,PR,Sul,10841,0.32
201701,2017,1,Curitiba,PR,Sul,10841,0.32
201702,2017,2,Curitiba,PR,Sul,10841,-0.47
201703,2017,3,Curitiba,PR,Sul,10841,0.18
201704,2017,4,Curitiba,PR,Sul,10841,0.34
201705,2017,5,Curitiba,PR,Sul,10841,-0.44
201706,2017,6,Curitiba,PR,Sul,10841,-0.81
201707,2017,7,Curitiba,PR,Sul,10841,-0.54
201708,2017,8,Curitiba,PR,Sul,10841,-1.11
201709,2017,9,Curitiba,PR,Sul,10841,-0.37
201710,2017,10,Curitiba,PR,Sul,10841,0.01
201711,2017,11,Curitiba,PR,Sul,10841,-0.29
201712,2017,12,Curitiba,PR,Sul,10841,0.48
201801,2018,1,Curitiba,PR,Sul,10841,0.9
201802,2018,2,Curitiba,PR,Sul,10841,-0.32
201803,2018,3,Curitiba,PR,Sul,10841,-0.07
201804,2018,4,Curitiba,PR,Sul,10841,0.12
201805,2018,5,Curitiba,PR,Sul,10841,0.19
201806,2018,6,Curitiba,PR,Sul,10841,2.29
201807,2018,7,Curitiba,PR,Sul,10841,-0.56
201808,2018,8,Curitiba,PR,Sul,10841,-0.46
201809,2018,9,Curitiba,PR,Sul,10841,0.36
201810,2018,10,Curitiba,PR,Sul,10841,0.81
201811,2018,11,Curitiba,PR,Sul,10841,-0.28
201812,2018,12,Curitiba,PR,Sul,10841,0.32
201901,2019,1,Curitiba,PR,Sul,10841,0.64
201902,2019,2,Curitiba,PR,Sul,10841,0.9
201903,2019,3,Curitiba,PR,Sul,10841,1.74
201904,2019,4,Curitiba,PR,Sul,10841,0.78
201905,2019,5,Curitiba,PR,Sul,10841,-0.6
201906,2019,6,Curitiba,PR,Sul,10841,-0.28
201907,2019,7,Curitiba,PR,Sul,10841,-0.32
201908,2019,8,Curitiba,PR,Sul,10841,-0.51
201909,2019,9,Curitiba,PR,Sul,10841,-0.3
201910,2019,10,Curitiba,PR,Sul,10841,0.19
201911,2019,11,Curitiba,PR,Sul,10841,0.82
201912,2019,12,Curitiba,PR,Sul,10841,3.55
202001,2020,1,Curitiba,PR,Sul,10841,-0.14
202002,2020,2,Curitiba,PR,Sul,10841,0.46
202003,2020,3,Curitiba,PR,Sul,10841,0.9
202004,2020,4,Curitiba,PR,Sul,10841,1.05
202005,2020,5,Curitiba,PR,Sul,10841,0.11
202006,2020,6,Curitiba,PR,Sul,10841,0.34
202007,2020,7,Curitiba,PR,Sul,10841,0.23
202008,2020,8,Curitiba,PR,Sul,10841,1.11
202009,2020,9,Curitiba,PR,Sul,10841,2.17
202010,2020,10,Curitiba,PR,Sul,10841,2.03
202011,2020,11,Curitiba,PR,Sul,10841,2.51
202012,2020,12,Curitiba,PR,Sul,10841,1.75
202101,2021,1,Curitiba,PR,Sul,10841,0.88
202102,2021,2,Curitiba,PR,Sul,10841,0.71
202103,2021,3,Curitiba,PR,Sul,10841,0.32
202104,2021,4,Curitiba,PR,Sul,10841,0.4
202105,2021,5,Curitiba,PR,Sul,10841,0.8
202106,2021,6,Curitiba,PR,Sul,10841,0.51
202107,2021,7,Curitiba,PR,Sul,10841,0.63
202108,2021,8,Curitiba,PR,Sul,10841,1.3
202109,2021,9,Curitiba,PR,Sul,10841,1.28
202110,2021,10,Curitiba,PR,Sul,10841,1.31
202111,2021,11,Curitiba,PR,Sul,10841,0.04
202112,2021,12,Curitiba,PR,Sul,10841,0.88
202201,2022,1,Curitiba,PR,Sul,10841,1.15
202202,2022,2,Curitiba,PR,Sul,10841,1.25
202203,2022,3,Curitiba,PR,Sul,10841,2.71
202204,2022,4,Curitiba,PR,Sul,10841,2.4
202205,2022,5,Curitiba,PR,Sul,10841,0.62
202206,2022,6,Curitiba,PR,Sul,10841,0.35
202207,2022,7,Curitiba,PR,Sul,10841,0.72
202208,2022,8,Curitiba,PR,Sul,10841,0.3
202209,2022,9,Curitiba,PR,Sul,10841,-0.79
202210,2022,10,Curitiba,PR,Sul,10841,1.05
202211,2022,11,Curitiba,PR,Sul,10841,0.49
202212,2022,12,Curitiba,PR,Sul,10841,1.19
202301,2023,1,Curitiba,PR,Sul,10841,0.27
202302,2023,2,Curitiba,PR,Sul,10841,0.51
202303,2023,3,Curitiba,PR,Sul,10841,0.15
202304,2023,4,Curitiba,PR,Sul,10841,0.68
202305,2023,5,Curitiba,PR,Sul,10841,0.25
202306,2023,6,Curitiba,PR,Sul,10841,-0.83
202307,2023,7,Curitiba,PR,Sul,10841,-0.47
202308,2023,8,Curitiba,PR,Sul,10841,-0.8
202309,2023,9,Curitiba,PR,Sul,10841,-0.83
202310,2023,10,Curitiba,PR,Sul,10841,0.13
202311,2023,11,Curitiba,PR,Sul,10841,0.27
202312,2023,12,Curitiba,PR,Sul,10841,0.91
202401,2024,1,Curitiba,PR,Sul,10841,1.41
202402,2024,2,Curitiba,PR,Sul,10841,0.95
202403,2024,3,Curitiba,PR,Sul,10841,0.41
202404,2024,4,Curitiba,PR,Sul,10841,0.73
202405,2024,5,Curitiba,PR,Sul,10841,0.65
202406,2024,6,Curitiba,PR,Sul,10841,0.47
202407,2024,7,Curitiba,PR,Sul,10841,-0.84
202408,2024,8,Curitiba,PR,Sul,10841,-0.54
202409,2024,9,Curitiba,PR,Sul,10841,0.52
202410,2024,10,Curitiba,PR,Sul,10841,0.85
202411,2024,11,Curitiba,PR,Sul,10841,1.5
202412,2024,12,Curitiba,PR,Sul,10841,0.98
201501,2015,1,Florianopolis,SC,Sul,10841,1.52
201502,2015,2,Florianopolis,SC,Sul,10841,0.97
201503,2015,3,Florianopolis,SC,Sul,10841,1.03
201504,2015,4,Florianopolis,SC,Sul,10841,0.71
201505,2015,5,Florianopolis,SC,Sul,10841,1.26
201506,2015,6,Florianopolis,SC,Sul,10841,0.69
201507,2015,7,Florianopolis,SC,Sul,10841,0.5
201508,2015,8,Florianopolis,SC,Sul,10841,-0.03
201509,2015,9,Florianopolis,SC,Sul,10841,0.06
201510,2015,10,Florianopolis,SC,Sul,10841,1.0
201511,2015,11,Florianopolis,SC,Sul,10841,2.3
201512,2015,12,Florianopolis,SC,Sul,10841,1.66
201601,2016,1,Florianopolis,SC,Sul,10841,2.48
201602,2016,2,Florianopolis,SC,Sul,10841,1.44
201603,2016,3,Florianopolis,SC,Sul,10841,1.51
201604,2016,4,Florianopolis,SC,Sul,10841,0.71
201605,2016,5,Florianopolis,SC,Sul,10841,0.81
201606,2016,6,Florianopolis,SC,Sul,10841,0.68
201607,2016,7,Florianopolis,SC,Sul,10841,1.33
